Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,Hip,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
28.32115,19.10184,68.48873,80.21567,36.06423,14.7867,59.21036,91.71075,25.51008,1.490397,24.80489,31.89636,10.9696,15.44252,109.741,25.73675
28.6374,19.97246,68.24958,80.30928,35.10078,14.9026,58.8113,83.63692,22.81718,2.674703,26.41329,36.30763,11.54081,14.95858,113.5245,24.39582
28.70967,19.83088,68.20742,81.11048,34.63557,15.11155,58.31293,83.39496,23.97738,4.269018,27.4654,39.14585,13.74413,15.10459,116.5839,23.38783
29.41039,19.42949,66.90497,82.47555,34.20155,16.02689,57.55424,83.87028,23.88764,5.493324,27.48941,41.19639,16.83394,14.92628,118.7816,22.31861
30.21976,19.37453,66.66695,83.91895,33.84523,17.00507,57.11266,84.35866,23.87962,6.926569,25.29948,42.09262,19.48373,14.18509,120.4739,20.80068
27.88086,20.43678,66.4473,85.34064,33.50222,15.3695,56.8528,85.11584,24.05135,8.044676,22.91713,41.82175,21.49555,14.31461,121.6183,18.91375
26.8933,20.76334,66.57984,86.39989,33.15475,15.43301,56.80531,86.12305,23.94134,7.590694,22.35038,40.50451,22.5285,16.87328,122.5472,16.31953
26.53389,20.49621,66.94927,88.70843,33.00052,15.36623,56.99518,87.1388,24.12153,6.91865,22.62693,39.00994,23.2441,20.96346,122.266,13.02523
25.95895,19.96967,67.08421,90.28603,33.08629,15.1737,57.33414,88.1477,24.78988,7.103962,23.4473,38.10121,24.1619,26.80634,121.7613,9.959765
26.13236,19.43863,67.28897,88.18528,35.74892,14.92954,57.8587,89.42138,29.05165,7.750198,23.61121,38.01994,24.96498,31.2204,120.5841,6.360032
25.25109,18.75198,67.60522,86.4902,38.60455,14.63341,58.50906,90.82419,29.32058,8.733547,22.32842,37.57927,25.31176,36.61504,119.9995,3.018434
25.69906,18.84846,68.0622,88.86209,38.64947,15.63948,59.05552,92.02001,29.58224,9.472138,21.003,36.85665,24.90483,40.19601,118.3981,2.644685
26.07277,19.06802,68.62962,91.22209,38.64689,16.78843,59.52454,93.50189,29.7687,10.34269,19.93943,35.28753,23.45378,44.65466,117.6654,5.970355
22.01822,16.66007,69.09481,98.90016,35.05872,13.49483,59.85818,94.73681,29.88492,11.35343,18.21656,32.61169,20.66312,49.20465,116.3847,9.341024
20.75925,15.97747,69.14293,100.4918,35.30857,13.0603,60.09959,96.28662,29.91748,12.32193,16.74045,30.26754,16.8041,53.35177,113.8273,11.80485
