Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
8.861959,6.446858,81.61037,5.265243,13.81735,12.62081,72.80906,15.41652,13.36363,37.52533,8.670165,50.34935,8.188285,7.604302,11.63843,9.940076, ,-3.013245,-3.041138,11.71619,-1.553314,3.097866,-0.7394409,-17.47397,-4.062988,-8.730408,0.1837374,-5.385193,50.1205,-1.823395,-3.358215,10.84701,-7.251251, ,-6.101257,1.814551,-4.561707,-5.030853,2.508786,4.287163,19.47836,14.63227,8.002424,37.52291,5.581525,5.54554,-7.719452,-5.344879,4.186743,-6.640228, ,5.844117,-5.436401,-81.2739,0.1540723,13.3006,11.82253,65.61515,-3.253479,-6.853912,-0.3372498,3.627428,1.8487,-1.916901,4.403247,-0.2940674,1.962224
8.863196,6.262883,81.90611,4.986014,13.71871,12.66089,72.59975,16.13266,13.38486,37.15703,8.794781,50.13479,7.897964,6.945539,11.21274,10.09389, ,-2.923523,-3.021057,12.45087,-1.626312,3.298002,-0.607666,-18.73328,-4.032898,-8.999725,0.3013228,-7.165131,49.94213,-2.164825,-2.810425,10.41511,-7.528564, ,-6.156006,1.991465,-4.012299,-4.713257,2.595644,4.460249,19.96773,15.36285,7.899688,37.15499,4.032131,4.916857,-7.408112,-4.967133,4.125806,-6.533875, ,5.830352,-5.16571,-81.47641,-0.0151062,13.13892,11.81306,64.67499,-3.447266,-6.655945,-0.1766968,2.886438,0.9963759,-1.545593,4.084471,-0.2712097,2.094763
8.874415,6.075662,82.19652,4.780802,13.7322,12.7416,72.38611,16.88096,13.37436,36.76337,9.653068,49.73006,7.677086,6.263133,10.81654,10.27755, ,-2.858307,-2.99585,13.15457,-1.708649,3.535903,-0.490448,-19.87094,-4.093567,-9.281982,0.3848874,-8.922455,49.55696,-2.571411,-2.240082,10.01793,-7.849945, ,-6.184357,2.198888,-3.431458,-4.460327,2.741646,4.642901,20.59846,16.10004,7.727124,36.76126,2.752627,4.439041,-7.115509,-4.551697,4.060875,-6.426636, ,5.84734,-4.865448,-81.65906,-0.1540527,13.07113,11.83889,63.67905,-3.662659,-6.42984,-0.04165649,2.249106,0.3638309,-1.156281,3.764936,-0.2085266,2.165194
8.876358,5.957094,82.41503,4.622613,13.85806,12.82467,72.15997,17.6137,13.37489,36.37964,10.86412,49.07148,7.639346,5.567089,10.25938,10.36389, ,-2.810852,-2.958832,13.80308,-1.801331,3.791853,-0.3591003,-20.93289,-4.16748,-9.630554,0.4296524,-10.55045,48.90842,-2.915161,-1.65686,9.543317,-8.141205, ,-6.206024,2.405491,-2.786926,-4.244568,2.940573,4.828186,21.31989,16.8139,7.520121,36.37744,1.728396,4.068459,-6.972168,-4.098267,3.755686,-6.206177, ,5.848293,-4.640381,-81.75391,-0.2720337,13.10246,11.86407,62.61902,-3.895203,-6.133118,0.09513585,1.783453,-0.1234436,-0.9602356,3.44498,-0.1401062,2.140065
8.874063,5.874766,82.6076,4.497281,14.06744,12.9156,71.91434,18.30682,13.42331,35.99175,12.21904,48.22713,7.778948,4.852967,9.92548,10.66049, ,-2.78241,-2.925079,14.41623,-1.904449,4.030215,-0.1787109,-21.9729,-4.260132,-10.03537,0.4408116,-12.08615,48.06271,-3.100922,-1.053497,9.221386,-8.516266, ,-6.217468,2.617826,-2.136169,-4.05014,3.164499,5.025214,22.11688,17.48596,7.331952,35.98938,0.941276,3.971745,-7.045532,-3.572906,3.675328,-6.237701, ,5.845,-4.439178,-81.81073,-0.3816528,13.2174,11.89257,61.46592,-4.104675,-5.78009,0.1899325,1.438937,-0.276886,-0.9532471,3.144506,-0.003692627,2.047319
8.858953,5.808954,82.79751,4.386062,14.28613,12.98851,71.66095,18.98483,13.45629,35.62309,13.6575,47.32113,8.134536,4.195397,9.469159,10.82799, ,-2.753326,-2.857697,14.98618,-1.986969,4.17286,-0.009185791,-22.91595,-4.417084,-10.39032,0.4127165,-13.61069,47.13159,-3.202759,-0.4334412,8.863622,-8.868439, ,-6.229492,2.817866,-1.512085,-3.874481,3.348515,5.198506,22.97136,18.12861,7.179326,35.6207,0.308925,4.417644,-7.379303,-3.042786,3.344057,-6.08078, ,5.820945,-4.271606,-81.85922,-0.4661255,13.37402,11.90651,60.27539,-4.315948,-5.368134,0.2818076,1.053304,0.142764,-1.02655,2.867512,0.1666018,1.858646
8.832825,5.779766,82.9593,4.281652,14.44623,13.07812,71.42668,19.65747,13.48884,35.24751,15.13345,46.38119,8.614962,3.657482,9.204729,11.23125, ,-2.731232,-2.793396,15.53233,-2.042938,4.169079,0.1563836,-23.7908,-4.658203,-10.67603,0.3235847,-15.12024,46.11701,-3.339905,0.2548344,8.628179,-9.356689, ,-6.20517,3.027301,-0.9188843,-3.715332,3.469427,5.390457,23.8956,18.74934,7.071981,35.2454,-0.2756653,5.449322,-7.837219,-2.510925,3.218406,-6.130981, ,5.815648,-4.130096,-81.87338,-0.5349426,13.52153,11.92632,59.05742,-4.52359,-4.976288,0.3493322,0.6094557,1.081254,-1.080261,2.641912,0.296112,1.661281
8.828655,5.781527,82.9593,4.283663,14.44645,13.06468,71.42807,19.65547,13.49134,35.25114,15.13226,46.38002,8.614962,3.656197,9.206773,11.2346, ,-2.731476,-2.789063,15.53351,-2.043152,4.16926,0.161454,-23.79532,-4.656219,-10.67871,0.3235508,-15.11929,46.11593,-3.339905,0.2546209,8.628479,-9.356476, ,-6.204254,3.018904,-0.9186707,-3.717651,3.471683,5.380032,23.89388,18.7477,7.072882,35.24899,-0.2763672,5.448857,-7.837219,-2.514557,3.223349,-6.136688, ,5.810156,-4.141418,-81.87317,-0.5340881,13.52117,11.91639,59.0575,-4.523407,-4.976379,0.3544885,0.6026887,1.082627,-1.080261,2.636779,0.2917506,1.666458
8.798966,5.76104,83.10184,4.183625,14.50673,13.15288,71.22147,20.30387,13.54797,34.88291,16.47914,45.25143,9.119297,3.337886,8.815068,11.53259, ,-2.714172,-2.713684,16.04433,-2.105438,4.018652,0.3077868,-24.56955,-4.96167,-10.91083,0.1624576,-16.46112,44.84472,-3.514465,1.021398,8.310639,-9.788971, ,-6.181702,3.201252,-0.3661499,-3.557068,3.512134,5.552325,24.88045,19.32676,7.024919,34.88049,-0.7773438,6.804688,-8.304138,-2.029053,2.940581,-6.068787, ,5.795295,-4.024689,-81.86688,-0.5853271,13.61817,11.93916,57.84368,-4.744141,-4.648956,0.4400008,0.03167008,2.335567,-1.138611,2.428115,0.4418037,1.361448
8.796206,5.759953,83.10217,4.181191,14.50689,13.14459,71.22029,20.30611,13.54664,34.88291,16.48029,45.25402,9.121016,3.340699,8.816401,11.53259, ,-2.71225,-2.709961,16.04259,-2.105042,4.018357,0.3007364,-24.5589,-4.964966,-10.90829,0.1624576,-16.46231,44.84733,-3.515228,1.020754,8.311486,-9.788971, ,-6.180573,3.195618,-0.3648987,-3.554474,3.509445,5.54251,24.87994,19.32855,7.02493,34.88049,-0.7758179,6.804773,-8.305145,-2.031342,2.942531,-6.068787, ,5.79298,-4.030029,-81.86734,-0.5857239,13.61909,11.93434,57.84862,-4.743561,-4.651123,0.4400008,0.03150766,2.335482,-1.141479,2.430173,0.4397243,1.361448
8.774536,5.734475,83.22949,4.124449,14.49092,13.2236,71.06156,20.92325,13.63473,34.5198,17.64922,43.80215,9.502861,3.250679,8.652165,12.08411, ,-2.719147,-2.631592,16.52408,-2.193268,3.78901,0.4597965,-25.29681,-5.270691,-11.10925,-0.01257324,-17.60193,43.22071,-3.586456,1.803114,8.141577,-10.34302, ,-6.153259,3.328043,0.1726135,-3.426636,3.492559,5.690769,25.89417,19.87258,7.02201,34.51591,-1.114136,7.934918,-8.684296,-1.526581,2.916089,-6.257782, ,5.785523,-3.936218,-81.84222,-0.6164246,13.66453,11.95543,56.64802,-4.971527,-4.406921,0.5237716,-0.513031,3.419807,-1.186798,2.209066,0.5697008,1.128409
8.751022,5.71053,83.33811,4.122361,14.43982,13.30244,70.93465,21.50676,13.77299,34.17046,18.63638,42.05673,9.724484,3.413254,8.508913,12.66789, ,-2.731842,-2.559875,16.98792,-2.322021,3.548049,0.5826613,-25.95248,-5.525421,-11.31201,-0.2054138,-18.5585,41.32423,-3.64032,2.594594,8.014977,-10.93588, ,-6.121613,3.43034,0.6981534,-3.331573,3.44205,5.826897,26.88026,20.39252,7.051375,34.16312,-1.329559,8.591324,-8.892334,-0.9964294,2.819977,-6.425293, ,5.777097,-3.858826,-81.79337,-0.646637,13.67878,11.97905,55.5053,-5.196533,-4.265381,0.6289673,-0.879364,4.003221,-1.250549,1.959638,0.7098916,0.9343303
8.693086,5.704494,83.45791,4.287317,14.2349,13.48471,70.80157,22.59034,14.15757,33.44109,20.24737,38.0467,9.899153,4.481586,8.32632,13.94081, ,-2.806854,-2.468872,17.86784,-2.685791,3.160582,0.9104972,-27.22919,-5.796295,-11.73355,-0.6175232,-20.14481,37.07731,-3.773743,4.164915,7.971457,-12.21848, ,-6.006866,3.589774,1.717799,-3.241089,3.294536,6.137758,28.69044,21.40273,7.15972,33.42244,-1.601746,9.15993,-9.022034,0.3912376,2.288569,-6.763885, ,5.775262,-3.76181,-81.58304,-0.7431946,13.57782,12.02718,53.36908,-5.622131,-4.24057,0.7826168,-1.020081,4.093281,-1.27713,1.622664,0.9218559,0.6743006
